,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.09.2011....00.19..,225,09/09/2011 00:19,16.32,3.6,,,,,09/09/2011,19
c..09.09.2011....00.49..,226,09/09/2011 00:49,15.939,3.6,,,,,09/09/2011,49
c..09.09.2011....01.19..,227,09/09/2011 01:19,15.796,3.6,,,,,09/09/2011,119
c..09.09.2011....01.49..,228,09/09/2011 01:49,15.652,3.6,,,,,09/09/2011,149
c..09.09.2011....02.19..,229,09/09/2011 02:19,15.724,3.6,,,,,09/09/2011,219
c..09.09.2011....02.49..,230,09/09/2011 02:49,15.509,3.6,,,,,09/09/2011,249
c..09.09.2011....03.19..,231,09/09/2011 03:19,15.438,3.6,,,,,09/09/2011,319
c..09.09.2011....03.49..,232,09/09/2011 03:49,15.27,3.6,,,,,09/09/2011,349
c..09.09.2011....04.19..,233,09/09/2011 04:19,15.414,3.6,,,,,09/09/2011,419
c..09.09.2011....04.49..,234,09/09/2011 04:49,15.438,3.6,,,,,09/09/2011,449
c..09.09.2011....05.19..,235,09/09/2011 05:19,15.509,3.6,,,,,09/09/2011,519
c..09.09.2011....05.49..,236,09/09/2011 05:49,15.509,3.6,,,,,09/09/2011,549
c..09.09.2011....06.19..,237,09/09/2011 06:19,15.294,3.6,,,,,09/09/2011,619
c..09.09.2011....06.49..,238,09/09/2011 06:49,15.103,3.6,,,,,09/09/2011,649
c..09.09.2011....07.19..,239,09/09/2011 07:19,14.792,3.63,,,,,09/09/2011,719
c..09.09.2011....07.49..,240,09/09/2011 07:49,14.888,3.63,,,,,09/09/2011,749
c..09.09.2011....08.19..,241,09/09/2011 08:19,14.768,3.63,,,,,09/09/2011,819
c..09.09.2011....08.49..,242,09/09/2011 08:49,14.936,3.63,,,,,09/09/2011,849
c..09.09.2011....09.19..,243,09/09/2011 09:19,15.676,3.6,,,,,09/09/2011,919
c..09.09.2011....09.49..,244,09/09/2011 09:49,16.153,3.6,,,,,09/09/2011,949
c..09.09.2011....10.19..,245,09/09/2011 10:19,16.368,3.6,,,,,09/09/2011,1019
c..09.09.2011....10.49..,246,09/09/2011 10:49,16.487,3.6,,,,,09/09/2011,1049
c..09.09.2011....11.19..,247,09/09/2011 11:19,16.582,3.6,,,,,09/09/2011,1119
c..09.09.2011....11.49..,248,09/09/2011 11:49,16.654,3.6,,,,,09/09/2011,1149
c..09.09.2011....12.19..,249,09/09/2011 12:19,16.725,3.6,,,,,09/09/2011,1219
c..09.09.2011....12.49..,250,09/09/2011 12:49,16.749,3.6,,,,,09/09/2011,1249
c..09.09.2011....13.19..,251,09/09/2011 13:19,16.844,3.6,,,,,09/09/2011,1319
c..09.09.2011....13.49..,252,09/09/2011 13:49,16.892,3.6,,,,,09/09/2011,1349
c..09.09.2011....14.19..,253,09/09/2011 14:19,16.82,3.6,,,,,09/09/2011,1419
c..09.09.2011....14.49..,254,09/09/2011 14:49,16.773,3.6,,,,,09/09/2011,1449
c..09.09.2011....15.19..,255,09/09/2011 15:19,16.844,3.6,,,,,09/09/2011,1519
c..09.09.2011....15.49..,256,09/09/2011 15:49,16.82,3.6,,,,,09/09/2011,1549
c..09.09.2011....16.19..,257,09/09/2011 16:19,16.773,3.6,,,,,09/09/2011,1619
