,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.31.14....05.00.38...1,247,07/31/14 05:00:38,17.415,3.57,,,,,,31/07/2014,51238
c..07.31.14....05.30.38...1,248,07/31/14 05:30:38,17.724,3.57,,,,,,31/07/2014,54238
c..07.31.14....06.00.38...1,249,07/31/14 06:00:38,17.605,3.57,,,,,,31/07/2014,61238
c..07.31.14....06.30.38...1,250,07/31/14 06:30:38,17.463,3.57,,,,,,31/07/2014,64238
c..07.31.14....07.00.38...1,251,07/31/14 07:00:38,17.439,3.57,,,,,,31/07/2014,71238
c..07.31.14....07.30.38...1,252,07/31/14 07:30:38,16.939,3.57,,,,,,31/07/2014,74238
c..07.31.14....08.00.38...1,253,07/31/14 08:00:38,16.749,3.57,,,,,,31/07/2014,81238
c..07.31.14....08.30.38...1,254,07/31/14 08:30:38,16.654,3.57,,,,,,31/07/2014,84238
c..07.31.14....09.00.38...1,255,07/31/14 09:00:38,16.606,3.57,,,,,,31/07/2014,91238
c..07.31.14....09.30.38...1,256,07/31/14 09:30:38,16.582,3.57,,,,,,31/07/2014,94238
c..07.31.14....10.00.38...1,257,07/31/14 10:00:38,16.511,3.57,,,,,,31/07/2014,101238
c..07.31.14....10.30.38...1,258,07/31/14 10:30:38,16.392,3.57,,,,,,31/07/2014,104238
c..07.31.14....11.00.38...1,259,07/31/14 11:00:38,16.439,3.57,,,,,,31/07/2014,111238
c..07.31.14....11.30.38...1,260,07/31/14 11:30:38,16.392,3.57,,,,,,31/07/2014,114238
c..08.01.2014....00.00..,261,08/01/2014 00:00,16.32,3.57,,,,,,01/08/2014,0
c..08.01.2014....00.30..,262,08/01/2014 00:30,16.201,3.57,,,,,,01/08/2014,30
